SCORES angle_constraint atom_pair_constraint chainbreak coordinate_constraint dihedral_constraint dslf_ca_dih dslf_cs_ang dslf_ss_dih dslf_ss_dst fa_atr fa_dun fa_intra_rep fa_pair fa_rep fa_sol frac_atoms_within_0.5 frac_atoms_within_1.0 frac_atoms_within_2.0 hack_elec hbond_bb_sc hbond_lr_bb hbond_sc hbond_sr_bb if_angle_constraint if_atom_pair_constraint if_chainbreak if_coordinate_constraint if_dihedral_constraint if_dslf_ca_dih if_dslf_cs_ang if_dslf_ss_dih if_dslf_ss_dst if_fa_atr if_fa_dun if_fa_intra_rep if_fa_pair if_fa_rep if_fa_sol if_hack_elec if_hbond_bb_sc if_hbond_lr_bb if_hbond_sc if_hbond_sr_bb if_omega if_p_aa_pp if_pro_close if_ref interface_delta ligand_auto_rms_no_super ligand_auto_rms_with_super ligand_centroid_travel ligand_is_touching omega p_aa_pp pro_close ref total_score
hNN_1sjw_d2n_des_1_0015 0 0 0 0 0.151133 0 0 0 0 -542.645 77.3134 1.36376 -19.1901 64.2959 249.669 0 0 0.0769231 -17.8239 -28.8183 -95.2717 -18.6113 -118.759 0 -40.878 0 0 0 0 0 0 0 -15.6658 0 0 0.0688283 4.3276 5.52127 -0.258118 -0.399801 1.42109e-14 -2.45391 1.42109e-14 0 0 0 0 -49.7379 4.30183 2.00252 2.71819 1 20.6388 -26.0635 11.4476 -34.86 -477.162
hNN_1sjw_d2n_des_1_0016 0 0 0 0 0.290953 0 0 0 0 -543.364 69.0511 1.2839 -18.706 55.0113 250.471 0 0.192308 0.461538 -16.6802 -28.4497 -95.2717 -18.5277 -118.759 0 -41.1727 0 0 0 0 0 0 0 -14.9154 0 0 0.115396 1.23691 4.75857 -0.198442 -0.235159 2.41585e-13 -1.61673 -1.42109e-14 0 0 0 0 -52.0276 3.41652 0.093844 0.333238 1 20.6388 -26.0635 6.10746 -34.86 -497.827
hNN_1sjw_d2n_des_1_0017 0 0 0 0 2.29907 0 0 0 0 -546.367 70.2372 1.41047 -18.6243 60.6571 254.102 0 0.0384615 0.230769 -17.1111 -30.5017 -95.2717 -17.2552 -118.759 0 -41.3333 0 0 0 0 0 0 0 -17.6966 0 0 0.108511 5.26166 6.88751 0.00100874 -0.2397 0 -0.106848 -2.84217e-14 0 0 0 0 -47.1177 4.60956 1.82637 2.1435 1 20.6388 -26.0635 6.05139 -34.86 -489.417
hNN_1sjw_d2n_des_1_0018 0 0 0 0 0.0695901 0 0 0 0 -540.544 71.0252 1.3224 -17.8982 55.3071 252.364 0 0 0.0769231 -16.6256 -27.8949 -95.2717 -14.3227 -118.759 0 -41.5412 0 0 0 0 0 0 0 -13.3371 0 0 0.0469709 1.33976 7.88564 -0.151997 -0.217151 4.12115e-13 -1.16239 7.10543e-14 0 0 0 0 -47.1374 9.28924 2.00286 4.14129 1 20.6388 -26.0635 6.05421 -34.86 -485.458
hNN_1sjw_d2n_des_1_0019 0 0 0 0 0.00278267 0 0 0 0 -536.646 72.1418 1.33538 -18.171 55.8094 252.174 0 0 0.0384615 -17.1246 -27.7653 -95.2717 -17.5963 -118.759 0 -41.5763 0 0 0 0 0 0 0 -12.7369 0 0 0.061476 1.99038 9.14754 -0.635588 -0.17144 4.12115e-13 -3.28629 7.10543e-14 0 0 0 0 -47.2071 8.07792 1.23218 5.45586 1 20.6388 -26.0635 6.07829 -34.86 -484.076
hNN_1sjw_d2n_des_1_0020 0 0 0 0 3.23734 0 0 0 0 -554.704 68.658 1.29736 -18.4321 69.4314 260.689 0 0 0.0384615 -17.5175 -27.9339 -95.2717 -17.4218 -118.759 0 -40.8003 0 0 0 0 0 0 0 -26.6223 0 0 -0.0068857 13.3648 15.2652 -0.696182 -0.280961 1.42109e-14 -2.47332 1.42109e-14 0 0 0 0 -42.2499 7.9943 1.49774 2.97406 1 20.6388 -26.0635 6.05342 -34.86 -480.958
hNN_1sjw_d2n_des_1_0021 0 0 0 0 2.34584 0 0 0 0 -547.635 71.3923 1.44616 -18.3766 86.5405 254.614 0 0 0.0384615 -17.0939 -27.0721 -95.2717 -16.787 -118.759 0 -41.1564 0 0 0 0 0 0 0 -18.7818 0 0 0.0873045 5.19389 9.95699 -0.135221 -0.327901 1.42109e-14 -0.183535 1.42109e-14 0 0 0 0 -45.3467 8.65663 2.19948 3.02249 1 20.6388 -26.0635 6.05133 -34.86 -458.889
hNN_1sjw_d2n_des_1_0022 0 0 0 0 0.0289419 0 0 0 0 -544.306 69.3383 1.30415 -18.0468 54.179 252.232 0 0.0769231 0.269231 -17.328 -27.5682 -95.2717 -19.56 -118.759 0 -40.9952 0 0 0 0 0 0 0 -15.9572 0 0 0.0790575 1.66191 7.35485 -0.522109 -0.20687 1.42109e-14 -3.78269 1.42109e-14 0 0 0 0 -52.3682 3.81352 1.12049 1.83582 1 20.6388 -26.0635 6.05235 -34.86 -497.988
hNN_1sjw_d2n_des_1_0023 0 0 0 0 0.00487423 0 0 0 0 -546.581 69.146 1.33462 -18.1183 58.2641 256.325 0 0.0769231 0.269231 -17.0467 -27.1475 -95.2717 -17.1382 -118.759 0 -41.1638 0 0 0 0 0 0 0 -18.2822 0 0 0.0281317 3.99329 11.5805 -0.326598 -0.137487 0 -1.68721 -2.84217e-14 0 0 0 0 -45.9953 4.61001 1.88075 1.11342 1 20.6388 -26.0635 6.05156 -34.86 -489.22
hNN_1sjw_d2n_des_1_0024 0 0 0 0 0.144366 0 0 0 0 -534.04 71.5577 1.3044 -18.0889 59.7943 249.502 0 0.0384615 0.0769231 -16.0164 -26.4241 -95.2717 -15.3467 -118.759 0 -41.2904 0 0 0 0 0 0 0 -13.8821 0 0 -0.012859 6.59947 8.24264 0.0643623 -0.21024 4.12115e-13 -0.426478 7.10543e-14 0 0 0 0 -40.9156 8.01853 1.10654 3.02659 1 20.6388 -26.0635 6.0512 -34.86 -475.877
hNN_1sjw_d2n_des_1_0025 0 0 0 0 1.99018 0 0 0 0 -556.188 72.8357 1.30094 -19.0864 75.8451 260.941 0 0 0.0384615 -17.8425 -30.472 -95.2717 -19.2855 -118.759 0 -41.0076 0 0 0 0 0 0 0 -24.9418 0 0 -0.128286 14.2502 12.765 -0.431232 -0.33844 0 -2.52674 -2.84217e-14 0 0 0 0 -42.3589 5.8734 2.06129 2.35448 1 20.6388 -26.0635 6.05146 -34.86 -478.224
hNN_1sjw_d2n_des_1_0026 0 0 0 0 0.729318 0 0 0 0 -549.521 68.3531 1.32864 -18.6574 65.1419 256.909 0 0 0.0769231 -17.3755 -28.7995 -95.2717 -19.5104 -118.759 0 -41.2281 0 0 0 0 0 0 0 -20.9985 0 0 0.131748 5.38752 10.428 -0.261022 -0.313553 4.12115e-13 -1.62522 7.10543e-14 0 0 0 0 -48.4792 8.17675 1.75614 2.08922 1 20.6388 -26.0635 6.05282 -34.86 -489.664
hNN_1sjw_d2n_des_1_0027 0 0 0 0 2.55766 0 0 0 0 -538.935 70.6197 1.40376 -18.8952 59.1041 252.253 0 0 0.0384615 -16.627 -27.4449 -95.2717 -18.2945 -118.759 0 -41.4047 0 0 0 0 0 0 0 -14.3364 0 0 0.10467 4.74465 9.13693 0.010094 -0.451181 0 -0.210593 -2.84217e-14 0 0 0 0 -42.4065 8.23253 2.07757 1.1138 1 20.6388 -26.0635 6.05161 -34.86 -482.522
hNN_1sjw_d2n_des_1_0028 0 0 0 0 43.8843 0 0 0 0 -559.191 81.5055 1.27359 -18.4544 1216.86 259.996 0 0 0 -16.7244 -27.7858 -95.2717 -16.8421 -118.759 0 -41.2544 0 0 0 0 0 0 0 -30.897 0 0 -0.0287924 1153.76 17.2265 -0.127854 -0.214208 2.41585e-13 -0.137574 -1.42109e-14 0 0 0 0 1098.32 7.03381 0.913148 4.37716 1 20.6388 -26.0635 6.05691 -34.86 716.261
hNN_1sjw_d2n_des_1_0029 0 0 0 0 1.35429 0 0 0 0 -543.93 75.1694 1.38321 -18.7823 76.5662 248.321 0 0 0.230769 -17.2515 -29.9611 -95.2717 -15.7756 -118.759 0 -41.0366 0 0 0 0 0 0 0 -18.6988 0 0 -0.0277052 3.28668 7.69656 -0.451428 -1.16838 5.68434e-14 -0.676275 1.27898e-13 0 0 0 0 -51.076 3.86089 1.83636 2.2212 1 20.6388 -26.0635 6.06683 -34.86 -471.155
hNN_1sjw_d2n_des_1_0030 0 0 0 0 0.386286 0 0 0 0 -544.018 71.6444 1.32461 -17.9291 57.4052 255.377 0 0 0 -17.6409 -29.2788 -95.2717 -21.9501 -118.759 0 -41.6346 0 0 0 0 0 0 0 -15.1876 0 0 0.0669609 1.47795 9.74945 -0.703814 -0.27789 1.42109e-14 -5.1091 1.42109e-14 0 0 0 0 -51.6187 9.605 1.724 4.54739 1 20.6388 -26.0635 6.05135 -34.86 -492.942
hNN_1sjw_d2n_des_1_0031 0 0 0 0 3.12395 0 0 0 0 -545.836 68.4816 1.37873 -17.3527 68.5121 255.932 0 0 0.0384615 -16.5568 -27.1902 -95.2717 -17.8545 -118.759 0 -41.2633 0 0 0 0 0 0 0 -18.5405 0 0 0.0793615 6.619 11.9723 -0.171909 -0.169459 4.12115e-13 -2.26278 7.10543e-14 0 0 0 0 -43.7373 6.20783 1.8519 2.74014 1 20.6388 -26.0635 6.05196 -34.86 -475.625
hNN_1sjw_d2n_des_1_0032 0 0 0 0 0.0480869 0 0 0 0 -543.965 70.1476 1.32027 -18.4 53.0437 254.438 0 0 0.115385 -17.1908 -29.498 -95.2717 -17.6132 -118.759 0 -41.6192 0 0 0 0 0 0 0 -11.7756 0 0 0.103157 0.560883 7.03517 -0.421651 -0.218037 0 -1.30167 -2.84217e-14 0 0 0 0 -47.637 8.86676 1.9035 3.05453 1 20.6388 -26.0635 11.4476 -34.86 -490.537
hNN_1sjw_d2n_des_1_0033 0 0 0 0 0.128853 0 0 0 0 -547.511 70.1227 1.62547 -19.5131 55.5643 256.566 0 0 0.0769231 -17.2693 -27.8299 -95.2717 -17.6929 -118.759 0 -41.3649 0 0 0 0 0 0 0 -18.5609 0 0 0.143944 2.47467 10.971 -0.18061 -0.181557 4.12115e-13 -1.65716 7.10543e-14 0 0 0 0 -48.3555 7.77246 1.8729 0.850341 1 20.6388 -26.0635 6.05189 -34.86 -494.072
hNN_1sjw_d2n_des_1_0034 0 0 0 0 1.1594 0 0 0 0 -542.421 66.1897 1.26888 -18.5887 57.0592 254.692 0 0 0.0769231 -17.313 -27.7175 -95.2717 -14.8989 -118.759 0 -41.629 0 0 0 0 0 0 0 -14.9576 0 0 0.0771641 2.87581 9.61357 -0.625244 -0.218791 0 -2.02832 -2.84217e-14 0 0 0 0 -46.8924 8.61474 1.1158 3.9756 1 20.6388 -26.0635 6.0652 -34.86 -488.819
hNN_1sjw_d2n_des_1_0035 0 0 0 0 0.0535494 0 0 0 0 -549.111 69.5105 1.28178 -18.1933 78.6557 258.293 0 0 0.0384615 -16.8601 -28.3398 -95.2717 -16.6528 -118.759 0 -41.012 0 0 0 0 0 0 0 -20.0488 0 0 0.10827 21.3807 12.0841 -0.191802 -0.338542 1.42109e-14 -0.161157 1.42109e-14 0 0 0 0 -28.1791 7.658 0.505767 2.27466 1 20.6388 -26.0635 6.05689 -34.86 -469.621
hNN_1sjw_d2n_des_1_0036 0 0 0 0 8.27229 0 0 0 0 -559.919 83.8974 1.36021 -18.8002 100.936 261.867 0 0 0 -19.2302 -30.3506 -95.2717 -25.2347 -118.759 0 -41.5404 0 0 0 0 0 0 0 -28.3816 0 0 0.0799576 28.1127 12.9084 -0.0118893 -0.282354 1.42109e-14 -0.182274 1.42109e-14 0 0 0 0 -29.2975 7.81167 1.99217 5.11894 1 20.6388 -26.0635 11.4476 -34.86 -440.069
hNN_1sjw_d2n_des_1_0037 0 0 0 0 1.77573e-06 0 0 0 0 -539.075 66.5518 1.32399 -18.4683 53.9926 251.863 0 0.0384615 0.115385 -17.0684 -27.6561 -95.2717 -18.2081 -118.759 0 -41.9726 0 0 0 0 0 0 0 -11.6805 0 0 0.0774775 1.55748 6.60003 -0.588636 -0.183246 0 -1.38777 -2.84217e-14 0 0 0 0 -47.5779 8.59742 1.14339 4.5168 1 20.6388 -26.0635 6.07186 -34.86 -494.988
hNN_1sjw_d2n_des_1_0038 0 0 0 0 0.00138138 0 0 0 0 -545.116 66.5391 1.26878 -18.2762 55.4789 255.373 0 0.0769231 0.0769231 -17.9577 -30.3511 -95.2717 -18.1823 -118.759 0 -41.5373 0 0 0 0 0 0 0 -14.8374 0 0 0.00820677 2.69614 9.24563 -0.561521 -0.175867 4.12115e-13 -1.60126 7.10543e-14 0 0 0 0 -46.7634 8.53069 0.00673127 3.15557 1 20.6388 -26.0635 6.05499 -34.86 -499.482
hNN_1sjw_d2n_des_1_0039 0 0 0 0 0.486104 0 0 0 0 -541.518 64.2646 1.32128 -18.2441 59.4153 252.739 0 0 0.0384615 -17.3571 -27.8915 -95.2717 -18.5452 -118.759 0 -41.821 0 0 0 0 0 0 0 -16.3859 0 0 0.0629707 6.16776 9.8319 -0.739597 -0.239185 0 -2.20998 -2.84217e-14 0 0 0 0 -45.3331 9.13486 1.96246 4.28671 1 20.6388 -26.0635 6.05226 -34.86 -493.592
hNN_1sjw_d2n_des_1_0040 0 0 0 0 0.530199 0 0 0 0 -541.623 71.6339 1.30372 -18.3505 55.6268 252.184 0 0.115385 0.384615 -17.2071 -29.6076 -95.2717 -17.7837 -118.759 0 -40.9799 0 0 0 0 0 0 0 -14.3725 0 0 0.102587 2.65071 6.43222 -0.465988 -0.287878 0 -3.7291 -2.84217e-14 0 0 0 0 -50.6499 3.83121 1.84246 1.58074 1 20.6388 -26.0635 11.4476 -34.86 -486.161
hNN_1sjw_d2n_des_1_0041 0 0 0 0 0.12165 0 0 0 0 -546.446 66.503 1.28024 -18.2702 57.5758 253.335 0.0384615 0.153846 0.461538 -17.5624 -29.0616 -95.2717 -16.5451 -118.759 0 -41.1158 0 0 0 0 0 0 0 -15.852 0 0 0.0210414 4.67701 6.18429 -0.138455 -0.171687 0 -0.110683 -2.84217e-14 0 0 0 0 -46.5063 2.64794 1.10697 1.28355 1 20.6388 -26.0635 6.05405 -34.86 -497.33
hNN_1sjw_d2n_des_1_0042 0 0 0 0 2.39548 0 0 0 0 -543.082 72.0468 1.31877 -18.8235 57.7153 253.73 0 0.0384615 0.0769231 -17.628 -28.548 -95.2717 -17.3572 -118.759 0 -41.2884 0 0 0 0 0 0 0 -15.9867 0 0 0.0302156 3.67494 8.6314 -0.154938 -0.276666 4.12115e-13 -0.524117 7.10543e-14 0 0 0 0 -45.8942 8.55603 2.02847 2.45275 1 20.6388 -26.0635 11.4476 -34.86 -481.1
hNN_1sjw_d2n_des_1_0043 0 0 0 0 6.39834e-07 0 0 0 0 -543.443 72.1834 1.31581 -18.0743 61.5296 252.504 0 0 0 -17.1966 -28.4741 -95.2717 -16.9566 -118.759 0 -41.2714 0 0 0 0 0 0 0 -11.0275 0 0 0.00728144 1.13143 5.16444 -0.153033 -0.21747 0 -1.80652 -2.84217e-14 0 0 0 0 -48.1727 4.57652 1.87957 3.53152 1 20.6388 -26.0635 5.52488 -34.86 -485.401
hNN_1sjw_d2n_des_1_0044 0 0 0 0 1.34434 0 0 0 0 -549.508 74.3719 1.65452 -18.5055 75.1738 252.77 0 0.0769231 0.384615 -16.8134 -28.7058 -95.2717 -15.214 -118.759 0 -40.9841 0 0 0 0 0 0 0 -20.482 0 0 0.0641526 5.13303 8.53254 0.0225068 -0.227773 1.42109e-14 -0.12067 1.42109e-14 0 0 0 0 -48.0622 3.69736 1.9886 1.68184 1 20.6388 -26.0635 6.05109 -34.86 -471.696
hNN_1sjw_d2n_des_1_0045 0 0 0 0 2.71619 0 0 0 0 -553.576 78.4566 1.33917 -19.2764 124.378 259.269 0 0 0 -16.4702 -28.9621 -95.2717 -15.9139 -118.759 0 -41.1695 0 0 0 0 0 0 0 -23.2527 0 0 0.0247701 32.9195 11.2958 0.690995 -0.177718 2.41585e-13 -0.0248652 -1.42109e-14 0 0 0 0 -19.6937 5.16567 0.525309 4.3514 1 20.6388 -26.0635 6.06597 -34.86 -416.289
hNN_1sjw_d2n_des_1_0046 0 0 0 0 6.27638e-07 0 0 0 0 -540.042 66.8901 1.29282 -18.4957 54.9022 250.665 0 0 0.0384615 -17.0207 -27.7689 -95.2717 -17.6099 -118.759 0 -41.4277 0 0 0 0 0 0 0 -11.7499 0 0 0.0909659 1.1226 4.27483 -0.375778 -0.232568 4.12115e-13 -0.275237 7.10543e-14 0 0 0 0 -48.5728 3.85135 1.14343 3.2463 1 20.6388 -26.0635 6.16318 -34.86 -495.339
hNN_1sjw_d2n_des_1_0047 0 0 0 0 1.16525e-07 0 0 0 0 -539.359 71.9755 1.33363 -18.0438 61.8356 253.435 0 0.0769231 0.0769231 -16.301 -25.8785 -95.2717 -15.1021 -118.759 0 -41.6094 0 0 0 0 0 0 0 -13.3931 0 0 0.0988067 2.30966 9.29261 -0.156183 -0.180173 0 -0.699219 -2.84217e-14 0 0 0 0 -44.337 7.75526 1.23066 3.08941 1 20.6388 -26.0635 6.05077 -34.86 -474.369
hNN_1sjw_d2n_des_1_0048 0 0 0 0 1.35529 0 0 0 0 -544.269 68.8218 1.31384 -18.4516 54.4215 255.115 0 0 0.0384615 -16.6952 -27.6707 -95.2717 -19.2462 -118.759 0 -41.2679 0 0 0 0 0 0 0 -18.1748 0 0 0.118054 2.79427 9.96269 -0.315745 -0.173175 0 -2.06046 -2.84217e-14 0 0 0 0 -49.117 6.62572 2.04414 3.05385 1 20.6388 -26.0635 6.05147 -34.86 -493.569
hNN_1sjw_d2n_des_1_0049 0 0 0 0 0.123973 0 0 0 0 -534.342 66.5568 1.27385 -18.0904 62.1238 246.207 0 0 0.192308 -16.2055 -26.7166 -95.2717 -10.7635 -118.759 0 -41.3527 0 0 0 0 0 0 0 -12.1903 0 0 0.0746818 1.95304 4.97854 -0.175741 -0.270992 0 -0.103741 -2.84217e-14 0 0 0 0 -47.0872 3.51912 0.520238 2.77968 1 20.6388 -26.0635 6.05331 -34.86 -478.094
hNN_1sjw_d2n_des_1_0050 0 0 0 0 0.197218 0 0 0 0 -544.018 67.7866 1.30959 -18.677 55.4759 252.712 0 0 0 -17.0045 -28.3302 -95.2717 -16.0414 -118.759 0 -41.2083 0 0 0 0 0 0 0 -15.63 0 0 0.109373 2.7545 6.72992 -0.180399 -0.238137 0 -0.0398662 -2.84217e-14 0 0 0 0 -47.7029 4.28225 1.22735 2.4265 1 20.6388 -26.0635 6.05096 -34.86 -494.854
hNN_1sjw_d2n_des_1_0051 0 0 0 0 0.24011 0 0 0 0 -541.211 72.974 1.30411 -19.0423 64.2969 247.754 0 0.0384615 0.307692 -17.2095 -26.6485 -95.2717 -16.4397 -118.759 0 -41.0745 0 0 0 0 0 0 0 -15.0157 0 0 0.0837539 4.38114 4.47578 -0.0397971 -0.210602 5.68434e-14 -0.111254 1.27898e-13 0 0 0 0 -47.5111 3.61563 1.14689 1.03011 1 20.6388 -26.0635 6.05791 -34.86 -482.238
hNN_1sjw_d2n_des_1_0052 0 0 0 0 0.164086 0 0 0 0 -546.434 72.6068 1.26661 -19.4941 59.6194 252.989 0 0.115385 0.307692 -18.0587 -30.0324 -95.2717 -19.7499 -118.759 0 -40.9983 0 0 0 0 0 0 0 -15.8397 0 0 0.103648 2.31751 6.29452 -0.358247 -0.225909 4.12115e-13 -1.98057 7.10543e-14 0 0 0 0 -50.687 3.87932 0.529515 0.759814 1 20.6388 -26.0635 6.05146 -34.86 -495.387
hNN_1sjw_d2n_des_1_0053 0 0 0 0 0.0110024 0 0 0 0 -549.15 68.5822 1.28132 -17.9384 54.3086 253.118 0 0 0.0384615 -17.0344 -27.7884 -95.2717 -16.2292 -118.759 0 -41.0325 0 0 0 0 0 0 0 -18.7051 0 0 0.00875073 1.71673 7.91597 -0.465315 -0.276327 0 -1.30838 -2.84217e-14 0 0 0 0 -52.1462 3.83206 0.250659 3.2179 1 20.6388 -26.0635 6.05143 -34.86 -499.103
